postal_code,name_km,name_en,type,province_code,district_code
020209,ឃុំ បន្សាយត្រែង,Bansay Traeng Commune,commune,020000,020200
020210,ឃុំ រុងជ្រៃ,Rung Chrey Commune,commune,020000,020200
020300,ក្រុង បាត់ដំបង,Bat Dambang Municipality,district,020000,020300
020301,សង្កាត់ ទួលតាឯក,Sangkat Tuol Ta Aek,commune,020000,020300
020302,សង្កាត់ ព្រែកព្រះស្តេច,Sangkat Preaek Preah Sdach,commune,020000,020300
020303,សង្កាត់ រតនាក់,Sangkat Rotanak,commune,020000,020300
020304,សង្កាត់ ចំការសំរោង,Sangkat Chamkar Samraong,commune,020000,020300
020305,សង្កាត់ ស្លាកែត,Sangkat Sla Kaet,commune,020000,020300
020306,សង្កាត់ គដួលដូនទាវ,Sangkat Kdol Doun Teav,commune,020000,020300
020307,សង្កាត់ អូម៉ាល់,Sangkat Ou Mal,commune,020000,020300
020308,សង្កាត់ វត្តគរ,Sangkat Voat Kor,commune,020000,020300
020309,សង្កាត់ អូរចារ,Sangkat Ou Char,commune,020000,020300
020310,សង្កាត់ ស្វាយប៉ោ,Sangkat Svay Pao,commune,020000,020300
020400,ស្រុក បាវិត,Bavel District,district,020000,020400
020401,ឃុំ បាវិត,Bavel Commune,commune,020000,020400
020402,ឃុំ ខ្នាចរមាស,Khnach Romeas Commune,commune,020000,020400
020403,ឃុំ ល្វា,Lvea Commune,commune,020000,020400
020404,ឃុំ ព្រៃខ្លា,Prey Khpuos Commune,commune,020000,020400
020405,ឃុំ អំពិលប្រាំដើម,Ampil Pram Daeum Commune,commune,020000,020400
020406,ឃុំ គដួលតាហែន,Kdol Ta Haen Commune,commune,020000,020400
020407,ឃុំ បឹងព្រាំ,Boeng Pram Commune,commune,020000,020400
020408,ឃុំ ខ្លៀងមាស,Khleang Meas Commune,commune,020000,020400
020409,ឃុំ បូវែល,Buovel Commune,commune,020000,020400
020500,ស្រុក ឯកភ្នំ,Aek Phnum District,district,020000,020500
020501,ឃុំ ព្រែកនរិន្ទ,Preaek Norin Commune,commune,020000,020500
020502,ឃុំ សំរោងក្នុង,Samraong Knong Commune,commune,020000,020500
020503,ឃុំ ព្រែកខ្ពប,Preaek Khpob Commune,commune,020000,020500
020504,ឃុំ ព្រែកលួង,Preaek Luong Commune,commune,020000,020500
020505,ឃុំ ពាមឯក,Peam Aek Commune,commune,020000,020500
020506,ឃុំ ព្រៃចាស់,Prey Chas Commune,commune,020000,020500
020507,ឃុំ កោះជីវាង,Kaoh Chiveang Commune,commune,020000,020500
020600,ស្រុក មោងឬស្សី,Moung Ruessei District,district,020000,020600
020601,ឃុំ មោង,Moung Commune,commune,020000,020600
020602,ឃុំ គារ,Kear Commune,commune,020000,020600
