postal_code,name_km,name_en,type,province_code,district_code
010000,ខេត្ត បន្ទាយមានជ័យ,Banteay Meanchey Province,province,010000,
010200,ស្រុក មង្គលបូរី,Mangkul Bourei District,district,010000,010200
010201,ឃុំ បន្ទាយនាង,Banteay Neang Commune,commune,010000,010200
010202,ឃុំ បត្រាំង,Bat Trang Commune,commune,010000,010200
010203,ឃុំ ចំណោម,Chamnaom Commune,commune,010000,010200
010204,ឃុំ កោកបល្ល័ង្គ,Kouk Ballang Commune,commune,010000,010200
010205,ឃុំ គយម៉ែង,Koy Maeng Commune,commune,010000,010200
010206,ឃុំ អូរប្រាសាទ,Ou Prasat Commune,commune,010000,010200
010207,ឃុំ ភ្នំទូច,Phnum Touch Commune,commune,010000,010200
010208,ឃុំ រហាត់ទឹក,Rohat Tuek Commune,commune,010000,010200
010209,ឃុំ រុស្សីក្រោក,Ruessei Kraok Commune,commune,010000,010200
010210,ឃុំ សំបូរ,Sambour Commune,commune,010000,010200
010211,ឃុំ សាអា,Soea Commune,commune,010000,010200
010212,ឃុំ ស្រះរាំង,Srah Reang Commune,commune,010000,010200
010213,ឃុំ តាឡាំ,Ta Lam Commune,commune,010000,010200
010300,ស្រុក ភ្នំស្រុក,Phnum Srok District,district,010000,010300
010301,ឃុំ ណាមតៅ,Nam Tau Commune,commune,010000,010300
010302,ឃុំ ប៉ោយចារ,Paoy Char Commune,commune,010000,010300
010303,ឃុំ ពន្លៃ,Punley Commune,commune,010000,010300
010304,ឃុំ ស្ពានស្រែង,Spean Sraeng Commune,commune,010000,010300
010305,ឃុំ ស្រះជីក,Srah Chik Commune,commune,010000,010300
010306,ឃុំ ភ្នំដី,Phnum Dei Commune,commune,010000,010300
010400,ស្រុក ព្រះនេត្រព្រះ,Preah Net Preah District,district,010000,010400
010401,ឃុំ ឈ្នួមមានជ័យ,Chhnuom Mean Chey Commune,commune,010000,010400
010402,ឃុំ ជប់វារី,Chub Vari Commune,commune,010000,010400
010403,ឃុំ ភ្នំលៀប,Phnum Lieb Commune,commune,010000,010400
010404,ឃុំ ប្រាសាទ,Prasat Commune,commune,010000,010400
010405,ឃុំ ព្រះនេត្រព្រះ,Preah Net Preah Commune,commune,010000,010400
