postal_code,name_km,name_en,type,province_code,district_code
010406,ឃុំ រហាល,Rohal Commune,commune,010000,010400
010407,ឃុំ ទានកាំ,Tean Kam Commune,commune,010000,010400
010408,ឃុំ ទឹកជោរ,Tuek Chour Commune,commune,010000,010400
010409,ឃុំ បុសស្បូវ,Bos Sbouv Commune,commune,010000,010400
010500,ស្រុក អូរជ្រៅ,Ou Chrov District,district,010000,010500
010501,ឃុំ ចង្ហា,Changha Commune,commune,010000,010500
010502,ឃុំ កូប,Koub Commune,commune,010000,010500
010503,ឃុំ កុដ្ដកាត់,Kuttasat Commune,commune,010000,010500
010504,ឃុំ សំរោង,Samraong Commune,commune,010000,010500
010505,ឃុំ សូភី,Souphi Commune,commune,010000,010500
010506,ឃុំ សឹង្ហ,Soeng Commune,commune,010000,010500
010507,ឃុំ អូរបីជាន់,Ou Beichoan Commune,commune,010000,010500
010600,ក្រុង សិរីសោភ័ណ,Serei Saophoan Municipality,district,010000,010600
010601,សង្កាត់ កំពង់ស្វាយ,Sangkat Kampong Svay,commune,010000,010600
010602,សង្កាត់ កោះពង់សាត់,Sangkat Kaoh Pong Sat,commune,010000,010600
010603,សង្កាត់ ម្កាក់,Sangkat Mkak,commune,010000,010600
010604,សង្កាត់ អូរអំបិល,Sangkat Ou Ambel,commune,010000,010600
010605,សង្កាត់ ភ្នៀត,Sangkat Phniet,commune,010000,010600
010606,សង្កាត់ ព្រះពន្លា,Sangkat Preah Punlea,commune,010000,010600
010607,សង្កាត់ ទឹកថ្លា,Sangkat Tuek Thla,commune,010000,010600
010700,ស្រុក ថ្មពួក,Thma Puok District,district,010000,010700
010701,ឃុំ បន្ទាយឆ្មារ,Banteay Chhmar Commune,commune,010000,010700
010702,ឃុំ គោករមៀត,Kouk Romiet Commune,commune,010000,010700
010703,ឃុំ ភូមិថ្មី,Phum Thmei Commune,commune,010000,010700
010704,ឃុំ ថ្មពួក,Thma Puok Commune,commune,010000,010700
010705,ឃុំ គោកកាកធិន,Kouk Kakthen Commune,commune,010000,010700
010706,ឃុំ គុមរូ,Kumru Commune,commune,010000,010700
010800,ស្រុក ស្វាយចេក,Svay Chek District,district,010000,010800
010801,ឃុំ ភ្គាំ,Phkoam Commune,commune,010000,010800
010802,ឃុំ សារុង,Sarung Commune,commune,010000,010800
010803,ឃុំ ស្លាក្រាម,Sla Kram Commune,commune,010000,010800
010804,ឃុំ ស្វាយចេក,Svay Chek Commune,commune,010000,010800
010805,ឃុំ តាបែន,Ta Baen Commune,commune,010000,010800
010806,ឃុំ តាភូ,Ta Phou Commune,commune,010000,010800
010807,ឃុំ ទ្រាស,Treas Commune,commune,010000,010800
